hostname;host_ipv4_address;address_family;alias;agent;snmp_ds
Acti-gym-cam;10.5.31.12;ipv4;;no-agent;snmp-v2
BAR-BS-952062;10.8.0.10;ipv4;;no-agent;snmp-v2
bcboe-adfs;10.8.0.11;ipv4;;no-agent;snmp-v2
bcboe-app1;10.101.0.2;ipv4;;no-agent;snmp-v2
bcboe-app3;10.8.0.115;ipv4;;no-agent;snmp-v2
bcboe-dc1;10.8.0.8;ipv4;;no-agent;snmp-v2
bcboe-dc2;10.6.0.8;ipv4;;no-agent;snmp-v2
bcboe-dc3;10.101.0.8;ipv4;;no-agent;snmp-v2
bcboe-fs1;10.8.0.30;ipv4;;no-agent;snmp-v2
bcboe-fs3;10.101.0.15;ipv4;;no-agent;snmp-v2
BCBOE-SQL;10.8.0.34;ipv4;;no-agent;snmp-v2
bcboe-ts-n-105;10.5.41.100;ipv4;;no-agent;snmp-v2
bcboe-wlc5508-pb_1.bryan.k12.ga.us;10.8.104.100;ipv4;;no-agent;snmp-v2
bcboe-wlc5508-pb_2.bryan.k12.ga.us;10.8.104.101;ipv4;;no-agent;snmp-v2
bcboe-wlc5508-rhdc_1;192.168.201.2;ipv4;;no-agent;snmp-v2
bcboe-wlc5508-rhdc_2.bryan.k12.ga.us;192.168.104.101;ipv4;;no-agent;snmp-v2
bces-c2960x-IDF2-01;10.7.2.21;ipv4;;no-agent;snmp-v2
bces-c2960x-IDF3-01;10.7.2.31;ipv4;;no-agent;snmp-v2
bces-c2960x-IDF4-01;10.7.2.41;ipv4;;no-agent;snmp-v2
bces-c2960x-IDF5-01;10.7.2.51;ipv4;;no-agent;snmp-v2
bces-c2960x-IDF6-01;10.7.2.61;ipv4;;no-agent;snmp-v2
bces-c2960x-mDF-02;10.7.2.2;ipv4;;no-agent;snmp-v2
bces-c3850_12S-mdf-01;10.7.240.1;ipv4;;no-agent;snmp-v2
bcmshs-3850_12s-mdf-01;10.6.2.1;ipv4;;no-agent;snmp-v2
bcmshs-C2960S24PS-IDF5-01;10.6.2.51;ipv4;;no-agent;snmp-v2
bcmshs-C2960S24PS-idf6-01;10.6.2.61;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF1-01;10.6.2.11;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF2-01;10.6.2.21;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF3-01;10.6.2.31;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF4-01;10.6.2.41;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF7-01;10.6.2.71;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF8-01;10.6.2.81;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF9-01;10.6.2.91;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-IDF10-01;10.6.2.101;ipv4;;no-agent;snmp-v2
bcmshs-c2960x-MDF-02;10.6.2.2;ipv4;;no-agent;snmp-v2
boe-2960S-idf1-02;10.8.2.1;ipv4;;no-agent;snmp-v2
boe-3750x-dc;10.1.100.18;ipv4;;no-agent;snmp-v2
boe-pa3260-north;192.168.3.3;ipv4;;no-agent;snmp-v2
ces-c2960x-IDF1-01;10.15.2.11;ipv4;;no-agent;snmp-v2
ces-c2960x-IDF2-01;10.15.2.21;ipv4;;no-agent;snmp-v2
ces-c2960x-IDF3-01;10.15.2.31;ipv4;;no-agent;snmp-v2
ces-c2960x-IDF4-01;10.15.2.41;ipv4;;no-agent;snmp-v2
ces-c2960x-MDF-02;10.15.2.2;ipv4;;no-agent;snmp-v2
ces-c3850_12S-mdf-01;10.15.2.1;ipv4;;no-agent;snmp-v2
co-2960s-24ps-l-brdrm;10.1.50.22;ipv4;;no-agent;snmp-v2
co-c9300-48p-idf1-01;10.1.50.20;ipv4;;no-agent;snmp-v2
co-c9300-48p-idf1-02;10.1.50.21;ipv4;;no-agent;snmp-v2
co-c9300-48p-mdf-01;10.11.1.1;ipv4;;no-agent;snmp-v2
CO-Core;10.1.100.49;ipv4;;no-agent;snmp-v2
COS-7;10.8.11.90;ipv4;;no-agent;snmp-v2
DC1-V;10.8.0.120;ipv4;;no-agent;snmp-v2
DC3-v;10.101.0.9;ipv4;;no-agent;snmp-v2
